created_at,updated_at,event_id,entry_id,position,percentage,id
2026-03-18 20:58:25.293275,2026-03-18 20:58:25.293275,1055,24790,3,10.7,185
2026-03-18 20:58:25.293275,2026-03-18 20:58:25.293275,1055,24797,4,6.6,186
2026-03-18 20:58:25.293275,2026-03-18 20:58:25.293275,1055,24794,5,5.6,187
2026-03-18 20:58:25.5262,2026-03-18 20:58:25.5262,1056,24815,1,18.1,188
2026-03-18 20:58:25.5262,2026-03-18 20:58:25.5262,1056,24809,2,14.9,189
2026-03-18 20:58:25.5262,2026-03-18 20:58:25.5262,1056,24813,3,12.8,190
2026-03-18 20:58:25.5262,2026-03-18 20:58:25.5262,1056,24810,4,8.2,191
2026-03-18 20:58:25.5262,2026-03-18 20:58:25.5262,1056,24811,5,8.1,192
2026-03-18 20:58:25.764896,2026-03-18 20:58:25.764896,1057,24829,1,,193
2026-03-18 20:58:25.764896,2026-03-18 20:58:25.764896,1057,24831,2,,194
2026-03-18 20:58:25.764896,2026-03-18 20:58:25.764896,1057,24833,3,,195
2026-03-18 20:58:25.764896,2026-03-18 20:58:25.764896,1057,24835,4,,196
2026-03-18 20:58:25.764896,2026-03-18 20:58:25.764896,1057,24840,5,,197
2026-03-18 20:58:25.994337,2026-03-18 20:58:25.994337,1058,24852,1,31.8,198
2026-03-18 20:58:25.994337,2026-03-18 20:58:25.994337,1058,24851,2,18,199
2026-03-18 20:58:25.994337,2026-03-18 20:58:25.994337,1058,24856,3,11.9,200
2026-03-18 20:58:25.994337,2026-03-18 20:58:25.994337,1058,24850,4,9.3,201
2026-03-18 20:58:25.994337,2026-03-18 20:58:25.994337,1058,24857,5,6.9,202
2026-03-18 20:58:26.174143,2026-03-18 20:58:26.174143,1059,24879,1,29.7,203
2026-03-18 20:58:26.174143,2026-03-18 20:58:26.174143,1059,24871,2,15.2,204
2026-03-18 20:58:26.174143,2026-03-18 20:58:26.174143,1059,24869,3,12.3,205
2026-03-18 20:58:26.174143,2026-03-18 20:58:26.174143,1059,24875,4,6.2,206
2026-03-18 20:58:26.174143,2026-03-18 20:58:26.174143,1059,24872,5,5,207
2026-03-18 20:58:26.400042,2026-03-18 20:58:26.400042,1060,24900,1,18.9,208
2026-03-18 20:58:26.400042,2026-03-18 20:58:26.400042,1060,24892,2,18.7,209
2026-03-18 20:58:26.400042,2026-03-18 20:58:26.400042,1060,24889,3,9.5,210
2026-03-18 20:58:26.400042,2026-03-18 20:58:26.400042,1060,24891,4,7.6,211
2026-03-18 20:58:26.400042,2026-03-18 20:58:26.400042,1060,24898,5,7.3,212
2026-03-18 20:58:26.749405,2026-03-18 20:58:26.749405,1061,24918,1,28,213
2026-03-18 20:58:26.749405,2026-03-18 20:58:26.749405,1061,24911,2,24.5,214
2026-03-18 20:58:26.749405,2026-03-18 20:58:26.749405,1061,24909,3,12.8,215
2026-03-18 20:58:26.749405,2026-03-18 20:58:26.749405,1061,24922,4,5.5,216
2026-03-18 20:58:26.749405,2026-03-18 20:58:26.749405,1061,24914,5,5.3,217
2026-03-18 20:58:26.971935,2026-03-18 20:58:26.971935,1062,24936,1,23.9,218
2026-03-18 20:58:26.971935,2026-03-18 20:58:26.971935,1062,24932,2,18.6,219
2026-03-18 20:58:26.971935,2026-03-18 20:58:26.971935,1062,24946,3,13.2,220
2026-03-18 20:58:26.971935,2026-03-18 20:58:26.971935,1062,24929,4,8.9,221
2026-03-18 20:58:26.971935,2026-03-18 20:58:26.971935,1062,24933,5,5.6,222
2026-03-18 20:58:27.133715,2026-03-18 20:58:27.133715,1063,24950,1,13.7,223
2026-03-18 20:58:27.133715,2026-03-18 20:58:27.133715,1063,24959,2,11.3,224
2026-03-18 20:58:27.133715,2026-03-18 20:58:27.133715,1063,24949,3,10.5,225
2026-03-18 20:58:27.133715,2026-03-18 20:58:27.133715,1063,24951,4,10,226
2026-03-18 20:58:27.133715,2026-03-18 20:58:27.133715,1063,24953,5,9,227
2026-03-18 20:58:27.271417,2026-03-18 20:58:27.271417,1064,24988,1,34.7,228
2026-03-18 20:58:27.271417,2026-03-18 20:58:27.271417,1064,24974,2,17.6,229
2026-03-18 20:58:27.271417,2026-03-18 20:58:27.271417,1064,24970,3,8.4,230
2026-03-18 20:58:27.271417,2026-03-18 20:58:27.271417,1064,24972,4,7.4,231
2026-03-18 20:58:27.271417,2026-03-18 20:58:27.271417,1064,24971,5,5.6,232
2026-03-18 20:58:27.413102,2026-03-18 20:58:27.413102,1065,24993,1,18.2,233
2026-03-18 20:58:27.413102,2026-03-18 20:58:27.413102,1065,24992,2,13.6,234
2026-03-18 20:58:27.413102,2026-03-18 20:58:27.413102,1065,24997,3,11.5,235
2026-03-18 20:58:27.413102,2026-03-18 20:58:27.413102,1065,25004,4,10.3,236
2026-03-18 20:58:27.413102,2026-03-18 20:58:27.413102,1065,24989,5,9.8,237
2026-03-18 20:58:27.613278,2026-03-18 20:58:27.613278,1066,25026,1,18.6,238
2026-03-18 20:58:27.613278,2026-03-18 20:58:27.613278,1066,25011,2,13.9,239
2026-03-18 20:58:27.613278,2026-03-18 20:58:27.613278,1066,25010,3,10.6,240
2026-03-18 20:58:27.613278,2026-03-18 20:58:27.613278,1066,25013,4,10.5,241
2026-03-18 20:58:27.613278,2026-03-18 20:58:27.613278,1066,25016,5,7.3,242
2026-03-18 20:58:27.847138,2026-03-18 20:58:27.847138,1067,25040,1,25.8,243
2026-03-18 20:58:27.847138,2026-03-18 20:58:27.847138,1067,25042,2,20.3,244
2026-03-18 20:58:27.847138,2026-03-18 20:58:27.847138,1067,25034,3,16.7,245
2026-03-18 20:58:27.847138,2026-03-18 20:58:27.847138,1067,25031,4,8.2,246
2026-03-18 20:58:27.847138,2026-03-18 20:58:27.847138,1067,25041,5,6.1,247
2026-03-18 20:58:28.041587,2026-03-18 20:58:28.041587,1068,25067,1,36.8,248
2026-03-18 20:58:28.041587,2026-03-18 20:58:28.041587,1068,25053,2,12.3,249
2026-03-18 20:58:28.041587,2026-03-18 20:58:28.041587,1068,25063,3,11.6,250
2026-03-18 20:58:28.041587,2026-03-18 20:58:28.041587,1068,25057,4,6.9,251
2026-03-18 20:58:28.041587,2026-03-18 20:58:28.041587,1068,25051,5,6,252
