id,team_id,previous_team_id,from_year,to_year,notes,created_at,updated_at
276,346,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
277,347,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
278,348,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
279,349,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
280,350,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
281,351,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
282,352,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
283,353,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
284,354,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
285,355,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
286,356,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
287,357,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
288,358,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
289,359,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
290,361,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
291,362,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
292,364,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
293,365,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
294,366,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
295,367,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
296,368,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
297,369,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
298,370,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
299,371,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
300,372,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
301,373,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
302,374,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
303,375,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
304,376,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
305,377,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
306,378,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
307,379,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
308,380,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
309,381,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
310,382,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
311,383,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
312,384,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
313,385,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
314,386,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
315,387,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
316,388,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
317,389,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
318,390,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
319,391,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
320,392,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
321,393,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
322,394,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
323,395,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
324,396,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
325,397,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
326,398,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
327,399,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
328,400,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
329,401,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
330,402,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
331,403,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
332,404,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
333,405,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
334,406,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
335,407,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
336,408,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
337,409,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
338,410,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
339,411,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
340,412,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
341,413,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
342,415,,2016,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
343,416,,2016,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
344,418,,2016,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
345,419,,2016,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
346,420,,2016,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
347,422,,2015,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
349,424,,2015,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
350,425,,2015,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
351,426,,2015,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
352,428,,2010,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
353,429,,2010,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
354,430,,2010,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
356,433,,2010,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
